ListSector,ListSectorCD,TShEquity,area,code,delistDate,endDate,equType,equTypeCD,exCountryCD,exchangeCD,holders,if_index,industry,listDate,listStatusCD,nonrestFloatShares,nonrestfloatA,officeAddr,partyID,primeOperating,secFullName,secID,secShortName,stop,timeToMarket,totalShares,transCurrCD
中小板,3,4348762910,深圳,2303,,2017/9/30,沪深A股,A,CHN,XSHE,58529,0,造纸,2009/11/3,L,1541924000,1541924000,广东省深圳市宝安区光明新陂头村美盈森厂区A栋,34892,"从事轻型包装产品与重型包装产品的生产与销售,并为客户提供包装产品设计、包装方案优化、第三方采购与包装产品物流配送、供应商库存管理以及辅助包装作业等包装一体化服务。",美盈森集团股份有限公司,002303.XSHE,美盈森,FALSE,20091103,1542323700,CNY
中小板,3,28448800471,江苏,2304,,2017/9/30,沪深A股,A,CHN,XSHE,20791,0,白酒,2009/11/6,L,1239816000,1239816000,江苏省宿迁市洋河中大街118号,34865,主要从事洋河蓝色经典、洋河大曲、敦煌古酿等系列品牌浓香型白酒的生产、加工和销售。,江苏洋河酒厂股份有限公司,002304.XSHE,洋河股份,FALSE,20091106,1506988000,CNY
中小板,3,4914623951,湖北,2305,,2017/9/30,沪深A股,A,CHN,XSHE,72471,0,区域地产,2009/11/6,L,1489550200,1489550200,湖北省武汉市武昌区民主路789号,34891,"从事以商业地产为引导的综合性物业开发,通过开发和运营商业物业,并与其他类型物业形成协同效应,相互提升各种类型物业的价值,实现土地“集约利用”。",南国置业股份有限公司,002305.XSHE,南国置业,FALSE,20091106,1734215800,CNY
中小板,3,-14206136.69,北京,2306,,2017/9/30,沪深A股,A,CHN,XSHE,60322,0,酒店餐饮,2009/11/11,L,799202100,799202100,北京市朝阳区鼓楼外大街23号龙德行大厦六层,18967,酒楼业务、快餐业务、团餐业务、食品加工业务。,中科云网科技集团股份有限公司,002306.XSHE,*ST云网,FALSE,20091111,800000100,CNY
中小板,3,3599599188,新疆,2307,,2017/9/30,沪深A股,A,CHN,XSHE,99811,0,建筑施工,2009/11/11,L,557319300,557319300,新疆维吾尔自治区乌鲁木齐市高新区高新街217号盈科广场A座16-17层,34868,公路工程施工。,新疆北新路桥集团股份有限公司,002307.XSHE,北新路桥,FALSE,20091111,561379100,CNY
中小板,3,2527220950,广东,2308,,2017/9/30,沪深A股,A,CHN,XSHE,39756,0,电脑设备,2009/11/27,L,838714700,838714700,广东省广州市高新技术产业开发区科珠路233号,34905,超高分辨率数字拼接墙系统和交互数字平台的研发、生产、销售和服务。,威创集团股份有限公司,002308.XSHE,威创股份,FALSE,20091127,913594100,CNY
中小板,3,5888134552,江苏,2309,,2017/9/30,沪深A股,A,CHN,XSHE,22829,0,电气设备,2009/11/27,L,436096800,436096800,江苏省常熟市东南经济开发区常昆路8号,35017,特种电缆业务。,江苏中利集团股份有限公司,002309.XSHE,中利集团,FALSE,20091127,873959100,CNY
中小板,3,10046616439,北京,2310,,2017/9/30,沪深A股,A,CHN,XSHE,57451,0,建筑施工,2009/11/27,L,1623245200,1623245200,北京市朝阳区酒仙桥北路甲10号院104号楼,34913,园林环境景观设计和园林绿化工程建设。,北京东方园林环境股份有限公司,002310.XSHE,东方园林,FALSE,20091127,2682778500,CNY
中小板,3,6538239321,广东,2311,,2017/9/30,沪深A股,A,CHN,XSHE,13835,0,饲料,2009/11/27,L,1528557600,1528557600,广东省广州市番禺区南村镇万博四路42号海大大厦2座701房,35025,水产预混料、水产配合饲料和畜禽配合饲料的研发、生产和销售。,广东海大集团股份有限公司,002311.XSHE,海大集团,FALSE,20091127,1575237000,CNY
中小板,3,3587726384,四川,2312,,2017/9/30,沪深A股,A,CHN,XSHE,110000,0,电脑设备,2009/12/3,L,1082739100,1082739100,四川省成都市金牛区高科技产业园区蜀西路42号,35037,主要从事电子回单系统、ATM监控系统及银行数字化网络安防监控系统相关电子设备及系统软件的研发、生产、工程应用和技术服务。,成都三泰控股集团股份有限公司,002312.XSHE,*ST三泰,FALSE,20091203,1404890700,CNY
中小板,3,1987014940,深圳,2313,,2017/9/30,沪深A股,A,CHN,XSHE,14000,0,通信设备,2009/12/3,L,312000000,312000000,广东省深圳市龙华新区观澜观盛四路日海工业园研发楼,35045,"从事通讯产品的研发,生产经营通讯用配线设备、户外设施及相关集成,并从事上述产品的工程服务。",深圳日海通讯技术股份有限公司,002313.XSHE,日海通讯,FALSE,20091203,312000100,CNY
中小板,3,6184710523,深圳,2314,,2017/9/30,沪深A股,A,CHN,XSHE,48879,0,区域地产,2009/12/3,L,737713400,737713400,广东省深圳市南山区海德三道卓越后海中心1801号,35061,"主要从事集成房屋的生产、租赁和销售业务,同时,公司还涉足船舶舱室耐火材料的研发、生产和销售业务,以及空气净化技术设备及系统工程的设计、安装和施工业务。",深圳市新南山控股(集团)股份有限公司,002314.XSHE,南山控股,FALSE,20091203,1877530300,CNY
中小板,3,1917138902,江苏,2315,,2017/9/30,沪深A股,A,CHN,XSHE,20149,0,互联网,2009/12/9,L,126042600,126042600,江苏省南京市南京高新技术产业开发区星火路软件大厦A座12F,34890,"运营自主开发的中国制造网电子商务平台(Made-in-China.com),包括中国制造网英文版(http://www.made-in-china.com)和中国制造网中文版(包括简体版http://cn.made-in-china.com及繁体版http://big5.made-in-china.com)。",焦点科技股份有限公司,002315.XSHE,焦点科技,FALSE,20091209,235000000,CNY
中小板,3,1007520189,深圳,2316,,2017/9/30,沪深A股,A,CHN,XSHE,17464,0,软件服务,2009/12/9,L,314932700,314932700,广东省深圳市南山区高新科技园后海大道2388号怡化金融科技大厦24层,35069,"为能源交通等行业提供通讯技术解决方案,包括相关软硬件产品的研发、制造与服务。",深圳键桥通讯技术股份有限公司,002316.XSHE,键桥通讯,FALSE,20091209,393120000,CNY
中小板,3,3620001458,广东,2317,,2017/9/30,沪深A股,A,CHN,XSHE,30869,0,中成药,2009/12/11,L,649903400,649903400,广东省东莞市石龙镇西湖工业区信息产业园,35153,药品研发、生产、销售,广东众生药业股份有限公司,002317.XSHE,众生药业,FALSE,20091211,814461100,CNY
中小板,3,2763100050,浙江,2318,,2017/9/30,沪深A股,A,CHN,XSHE,57259,0,特种钢,2009/12/11,L,816038300,816038300,浙江省湖州市中兴大道1899号,35119,工业用不锈钢及特种合金的管材、管件的研发、生产、销售,浙江久立特材科技股份有限公司,002318.XSHE,久立特材,FALSE,20091211,841505900,CNY
中小板,3,494354099.9,广东,2319,,2017/9/30,沪深A股,A,CHN,XSHE,20813,0,染料涂料,2009/12/11,L,199951500,199951500,广东省珠海市金鼎官塘乐通工业园,35154,生产和销售自产的各类油墨、涂料及相关配套产品,珠海市乐通化工股份有限公司,002319.XSHE,乐通股份,FALSE,20091211,200000000,CNY
